league,team,season,avg_possession_rate,avg_progressive_passes,position
Bundesliga,Augsburg,2017-2018,45.71,33.59,12
Bundesliga,Bayer Leverkusen,2017-2018,54.56,51.26,5
Bundesliga,Bayern Munich,2017-2018,66.15,68.62,1
Bundesliga,Dortmund,2017-2018,59.09,51.15,4
Bundesliga,Eintracht Frankfurt,2017-2018,47.85,39.88,8
Bundesliga,Freiburg,2017-2018,44.79,32.09,15
Bundesliga,Hamburger SV,2017-2018,48.97,38.76,17
Bundesliga,Hannover 96,2017-2018,46.91,37.97,13
Bundesliga,Hertha BSC,2017-2018,46.06,35.85,10
Bundesliga,Hoffenheim,2017-2018,51.24,40.18,3
Bundesliga,Köln,2017-2018,47.44,41.15,18
Bundesliga,Mainz 05,2017-2018,44.35,34.21,14
Bundesliga,Mönchengladbach,2017-2018,51.97,40.94,9
Bundesliga,RB Leipzig,2017-2018,54.97,47.12,6
Bundesliga,Schalke 04,2017-2018,46.59,41.06,2
Bundesliga,Stuttgart,2017-2018,46.65,33.56,7
Bundesliga,Werder Bremen,2017-2018,47.41,43.44,11
Bundesliga,Wolfsburg,2017-2018,49.29,39.32,16
Bundesliga,Augsburg,2018-2019,46.38,34.65,15
Bundesliga,Bayer Leverkusen,2018-2019,59.82,53.5,4
Bundesliga,Bayern Munich,2018-2019,65.68,64.47,1
Bundesliga,Dortmund,2018-2019,58.06,48.15,2
Bundesliga,Düsseldorf,2018-2019,43.18,35.76,10
Bundesliga,Eintracht Frankfurt,2018-2019,47.18,41.35,7
Bundesliga,Freiburg,2018-2019,43.97,31.62,13
Bundesliga,Hannover 96,2018-2019,46.32,34.71,17
Bundesliga,Hertha BSC,2018-2019,47.91,39.35,11
Bundesliga,Hoffenheim,2018-2019,53.79,50.5,9
Bundesliga,Mainz 05,2018-2019,46.12,37.26,12
Bundesliga,Mönchengladbach,2018-2019,53.06,46.29,5
Bundesliga,Nürnberg,2018-2019,42.38,29.09,18
Bundesliga,RB Leipzig,2018-2019,49.56,47.94,3
Bundesliga,Schalke 04,2018-2019,45.41,35.0,14
Bundesliga,Stuttgart,2018-2019,45.85,34.47,16
Bundesliga,Werder Bremen,2018-2019,52.06,50.15,8
Bundesliga,Wolfsburg,2018-2019,53.32,38.91,6
Bundesliga,Augsburg,2019-2020,38.56,23.97,15
Bundesliga,Bayer Leverkusen,2019-2020,63.24,43.85,5
Bundesliga,Bayern Munich,2019-2020,65.12,68.15,1
Bundesliga,Dortmund,2019-2020,60.41,54.53,2
Bundesliga,Düsseldorf,2019-2020,45.62,39.32,17
Bundesliga,Eintracht Frankfurt,2019-2020,50.91,44.41,9
Bundesliga,Freiburg,2019-2020,48.09,36.21,8
Bundesliga,Hertha BSC,2019-2020,44.74,32.62,10
Bundesliga,Hoffenheim,2019-2020,51.65,38.41,6
Bundesliga,Köln,2019-2020,46.74,34.41,14
Bundesliga,Mainz 05,2019-2020,43.21,34.56,13
Bundesliga,Mönchengladbach,2019-2020,52.38,38.85,4
Bundesliga,Paderborn 07,2019-2020,45.91,30.41,18
Bundesliga,RB Leipzig,2019-2020,55.26,51.35,3
Bundesliga,Schalke 04,2019-2020,49.0,35.56,12
Bundesliga,Union Berlin,2019-2020,41.94,30.79,11
Bundesliga,Werder Bremen,2019-2020,48.82,39.0,16
Bundesliga,Wolfsburg,2019-2020,48.41,39.59,7
Bundesliga,Arminia,2020-2021,42.32,25.88,15
Bundesliga,Augsburg,2020-2021,41.44,29.76,13
Bundesliga,Bayer Leverkusen,2020-2021,59.68,45.5,6
Bundesliga,Bayern Munich,2020-2021,60.68,61.29,1
Bundesliga,Dortmund,2020-2021,59.59,53.18,3
Bundesliga,Eintracht Frankfurt,2020-2021,53.71,52.03,5
Bundesliga,Freiburg,2020-2021,47.29,35.32,10
Bundesliga,Hertha BSC,2020-2021,49.56,35.06,14
Bundesliga,Hoffenheim,2020-2021,51.18,48.12,11
Bundesliga,Köln,2020-2021,46.32,33.76,16
Bundesliga,Mainz 05,2020-2021,40.71,33.56,12
Bundesliga,Mönchengladbach,2020-2021,51.74,41.32,8
Bundesliga,RB Leipzig,2020-2021,59.68,53.74,2
Bundesliga,Schalke 04,2020-2021,44.74,29.18,18
Bundesliga,Stuttgart,2020-2021,51.5,46.24,9
Bundesliga,Union Berlin,2020-2021,44.94,33.91,7
Bundesliga,Werder Bremen,2020-2021,43.85,33.62,17
Bundesliga,Wolfsburg,2020-2021,51.09,41.09,4
Bundesliga,Arminia,2021-2022,40.74,26.12,17
Bundesliga,Augsburg,2021-2022,41.53,28.82,14
Bundesliga,Bayer Leverkusen,2021-2022,53.71,40.0,3
Bundesliga,Bayern Munich,2021-2022,64.5,64.71,1
Bundesliga,Bochum,2021-2022,44.67,28.27,13
Bundesliga,Dortmund,2021-2022,59.24,44.76,2
Bundesliga,Eintracht Frankfurt,2021-2022,49.65,41.85,10
Bundesliga,Freiburg,2021-2022,49.03,36.79,6
Bundesliga,Greuther Fürth,2021-2022,43.62,29.44,18
Bundesliga,Hertha BSC,2021-2022,43.68,29.35,16
